,param_tol,param_shrinking,param_kernel,param_gamma,param_degree,param_coef0,params,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,avgTestScore
131,1e-07,True,rbf,0.15,2,0.8500000000000001,"{'tol': 1e-07, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 2, 'coef0': 0.8500000000000001}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
132,1e-06,False,rbf,auto,0,1.0,"{'tol': 1e-06, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'auto', 'degree': 0, 'coef0': 1.0}",0.20130932896890344,0.02235384520228715,11,0.5102411924025599,0.003944324451642268,
133,1e-05,False,sigmoid,0.2,3,0.8500000000000001,"{'tol': 1e-05, 'shrinking': False, 'kernel': 'sigmoid', 'gamma': 0.2, 'degree': 3, 'coef0': 0.8500000000000001}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
134,0.01,True,sigmoid,scale,2,0.8500000000000001,"{'tol': 0.01, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'scale', 'degree': 2, 'coef0': 0.8500000000000001}",0.15057283142389524,0.006960571700284208,183,0.14939778006345095,0.0027487123531389746,
135,0.01,True,sigmoid,auto,5,0.8,"{'tol': 0.01, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 5, 'coef0': 0.8}",0.15548281505728315,0.01137709905620778,104,0.15721172009881737,0.004541790642714685,
136,1e-05,False,rbf,0.15,0,0.65,"{'tol': 1e-05, 'shrinking': False, 'kernel': 'rbf', 'gamma': 0.15, 'degree': 0, 'coef0': 0.65}",0.1718494271685761,0.019449851180775406,58,0.8363178415859565,0.004701335023629913,
137,1e-07,False,rbf,scale,3,0.30000000000000004,"{'tol': 1e-07, 'shrinking': False, 'kernel': 'rbf', 'gamma': 'scale', 'degree': 3, 'coef0': 0.30000000000000004}",0.2225859247135843,0.022853726469659896,1,0.28108591632024216,0.0026158237422675514,
138,1e-05,True,sigmoid,auto,1,0.8500000000000001,"{'tol': 1e-05, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 'auto', 'degree': 1, 'coef0': 0.8500000000000001}",0.15384615384615385,0.007158736898565377,126,0.1526797926789438,0.003086682641640312,
139,1e-08,True,sigmoid,0.1,4,0.30000000000000004,"{'tol': 1e-08, 'shrinking': True, 'kernel': 'sigmoid', 'gamma': 0.1, 'degree': 4, 'coef0': 0.30000000000000004}",0.15384615384615385,0.011870153984500762,126,0.15759359508848525,0.0036248506092250773,
140,0.001,True,rbf,0.05,4,0.1,"{'tol': 0.001, 'shrinking': True, 'kernel': 'rbf', 'gamma': 0.05, 'degree': 4, 'coef0': 0.1}",0.1783960720130933,0.012867608334345231,39,0.7548648520810113,0.006331637152035541,
